SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL
NSE,E,11364,EQUITY,0,VAIBHAVGBL
NSE,E,11365,EQUITY,0,865SCL24B
NSE,E,11368,EQUITY,0,905SC24B
NSE,E,11369,EQUITY,0,TTKHLTCARE
NSE,E,11371,EQUITY,0,BGLOBAL
NSE,E,11373,EQUITY,0,BIOCON
NSE,E,11374,EQUITY,0,TIPSFILMS
NSE,E,11377,EQUITY,0,MAHABANK
NSE,E,11386,EQUITY,0,PVTBANIETF
NSE,E,1139,EQUITY,0,GICHSGFIN
NSE,E,11390,EQUITY,0,776MH30
NSE,E,11394,EQUITY,0,ZOTA
NSE,E,11399,EQUITY,0,SALZERELEC
NSE,E,11400,EQUITY,0,775GJ32
NSE,E,11401,EQUITY,0,778MZ32
NSE,E,11403,EQUITY,0,POONAWALLA
NSE,E,11404,EQUITY,0,779RJ32
NSE,E,11405,EQUITY,0,779TN32
NSE,E,11407,EQUITY,0,XPROINDIA
NSE,E,11408,EQUITY,0,781UP32
NSE,E,11409,EQUITY,0,784TS34
NSE,E,11411,EQUITY,0,RKFORGE
NSE,E,11412,EQUITY,0,782AP35
NSE,E,11413,EQUITY,0,783TS35
NSE,E,11415,EQUITY,0,783TS36
NSE,E,11416,EQUITY,0,77PN42
NSE,E,11417,EQUITY,0,774AP42
NSE,E,11418,EQUITY,0,774RJ42
NSE,E,1142,EQUITY,0,GINNIFILA
NSE,E,11423,EQUITY,0,DATAMATICS
NSE,E,11424,EQUITY,0,77KL47
NSE,E,11427,EQUITY,0,NDTV
NSE,E,11435,EQUITY,0,SPANDANA
NSE,E,11439,EQUITY,0,BANKBEES
NSE,E,11440,EQUITY,0,KRITINUT
NSE,E,11441,EQUITY,0,LICNETFSEN
NSE,E,11445,EQUITY,0,PILANIINVS
NSE,E,11447,EQUITY,0,CMRSL
NSE,E,1145,EQUITY,0,GIPCL
NSE,E,11452,EQUITY,0,CCL
NSE,E,11457,EQUITY,0,NV20
NSE,E,11471,EQUITY,0,EXCELINDUS
NSE,E,11476,EQUITY,0,LLOYDS
NSE,E,11483,EQUITY,0,LT
NSE,E,11488,EQUITY,0,KRIDHANINF
NSE,E,11491,EQUITY,0,APARINDS
NSE,E,11496,EQUITY,0,AMBICAAGAR
NSE,E,11497,EQUITY,0,SWASTIK
NSE,E,11504,EQUITY,0,FROG
NSE,E,11505,EQUITY,0,785AS32A
NSE,E,11506,EQUITY,0,781GJ32
NSE,E,11507,EQUITY,0,783HR32
NSE,E,11509,EQUITY,0,785SK32
NSE,E,11510,EQUITY,0,785UK32
NSE,E,11511,EQUITY,0,CENTEXT
NSE,E,11513,EQUITY,0,785BR32
NSE,E,11514,EQUITY,0,785AP40
NSE,E,11515,EQUITY,0,785PN42
NSE,E,11522,EQUITY,0,NIITLTD
NSE,E,1153,EQUITY,0,GLAXO
NSE,E,11530,EQUITY,0,EMIL
NSE,E,11532,EQUITY,0,ULTRACEMCO
NSE,E,11536,EQUITY,0,TCS
NSE,E,11538,EQUITY,0,HDFCMOMENT
NSE,E,11543,EQUITY,0,COFORGE
NSE,E,11547,EQUITY,0,HDFCLOWVOL
NSE,E,11549,EQUITY,0,TEXINFRA
NSE,E,11568,EQUITY,0,DCI
NSE,E,1157,EQUITY,0,654AR30
NSE,E,11571,EQUITY,0,PPLPHARMA
NSE,E,11573,EQUITY,0,FORCEMOT
NSE,E,1158,EQUITY,0,649KA30A
NSE,E,11580,EQUITY,0,WESTLIFE
NSE,E,11582,EQUITY,0,TRACXN
NSE,E,11584,EQUITY,0,GULFPETRO
NSE,E,11588,EQUITY,0,741GJ26
NSE,E,11589,EQUITY,0,762GJ29
NSE,E,11590,EQUITY,0,77MH30
NSE,E,11591,EQUITY,0,HDFCNIFTY
NSE,E,11593,EQUITY,0,HDFCSENSEX
NSE,E,11596,EQUITY,0,LINCOLN
NSE,E,11597,EQUITY,0,774GA32
NSE,E,11598,EQUITY,0,773BR32
NSE,E,1160,EQUITY,0,654RJ30A
NSE,E,11603,EQUITY,0,781UP34
NSE,E,11604,EQUITY,0,777JK37
NSE,E,11606,EQUITY,0,GUFICBIO
NSE,E,11607,EQUITY,0,774WB39
NSE,E,11612,EQUITY,0,PHANTOMFX
NSE,E,11618,EQUITY,0,ASTRAMICRO
NSE,E,11619,EQUITY,0,GOLDENTOBC
NSE,E,1162,EQUITY,0,GTL
NSE,E,11626,EQUITY,0,WELENT
NSE,E,11627,EQUITY,0,NARMADA
NSE,E,1163,EQUITY,0,66AS30
NSE,E,11630,EQUITY,0,NTPC
NSE,E,11637,EQUITY,0,SALSTEEL
NSE,E,1164,EQUITY,0,NEWGEN
NSE,E,11640,EQUITY,0,BOHRAIND
NSE,E,11647,EQUITY,0,KOTARISUG
NSE,E,1165,EQUITY,0,66PN30
NSE,E,11654,EQUITY,0,LALPATHLAB
NSE,E,11655,EQUITY,0,JBMA
NSE,E,11658,EQUITY,0,79NHIT35
NSE,E,1166,EQUITY,0,672KA33
NSE,E,11665,EQUITY,0,79NHIT40
NSE,E,11667,EQUITY,0,DWARKESH
NSE,E,11669,EQUITY,0,79NHIT47
NSE,E,11676,EQUITY,0,774HR29
NSE,E,11677,EQUITY,0,INDOCO
NSE,E,11678,EQUITY,0,778MH30
NSE,E,11679,EQUITY,0,784AS32
NSE,E,1168,EQUITY,0,GMBREW
NSE,E,11682,EQUITY,0,785BR32A
NSE,E,11683,EQUITY,0,783GA32
NSE,E,11689,EQUITY,0,SUPRAJIT
NSE,E,1169,EQUITY,0,678WB35
NSE,E,11690,EQUITY,0,781HR32C
NSE,E,11691,EQUITY,0,784RJ32
NSE,E,11693,EQUITY,0,782TN32
NSE,E,11695,EQUITY,0,788MP33
NSE,E,11696,EQUITY,0,789TS36
NSE,E,11697,EQUITY,0,791UP37
NSE,E,11698,EQUITY,0,793WB37
NSE,E,11699,EQUITY,0,PATELENG
NSE,E,11700,EQUITY,0,795WB39
NSE,E,11701,EQUITY,0,787RJ40
NSE,E,11703,EQUITY,0,ALKEM
NSE,E,11704,EQUITY,0,783TN42
NSE,E,11705,EQUITY,0,XCHANGING
NSE,E,11706,EQUITY,0,781KL44
NSE,E,1172,EQUITY,0,681TR35
NSE,E,11723,EQUITY,0,JSWSTEEL
NSE,E,11730,EQUITY,0,728IRFC30
NSE,E,11731,EQUITY,0,CONSOFINVT
NSE,E,1174,EQUITY,0,GNFC
NSE,E,11743,EQUITY,0,JINDALPHOT
NSE,E,11748,EQUITY,0,725IRFC35
NSE,E,11754,EQUITY,0,753IRFC30
NSE,E,11757,EQUITY,0,750IRFC35
NSE,E,11759,EQUITY,0,786AP33
NSE,E,11760,EQUITY,0,775AP29
NSE,E,11763,EQUITY,0,JPPOWER
NSE,E,11764,EQUITY,0,782AS32A
NSE,E,11765,EQUITY,0,782RJ32
NSE,E,11767,EQUITY,0,784TS39
NSE,E,11768,EQUITY,0,784TS40
NSE,E,11769,EQUITY,0,783PN42
NSE,E,11770,EQUITY,0,78KL45
NSE,E,11778,EQUITY,0,GOKEX
NSE,E,11779,EQUITY,0,ACEINTEG
NSE,E,11782,EQUITY,0,EVEREADY
NSE,E,11787,EQUITY,0,GOYALALUM
NSE,E,11794,EQUITY,0,SAKSOFT
NSE,E,11796,EQUITY,0,HPIL
NSE,E,11798,EQUITY,0,ALLDIGI
NSE,E,11804,EQUITY,0,SUKHJITS
NSE,E,11809,EQUITY,0,IIFL
NSE,E,1181,EQUITY,0,GODFRYPHLP
NSE,E,11813,EQUITY,0,SHOPERSTOP
NSE,E,11817,EQUITY,0,MANGALAM
NSE,E,11821,EQUITY,0,WELCORP
NSE,E,11829,EQUITY,0,SSWL
NSE,E,11840,EQUITY,0,NH
NSE,E,11841,EQUITY,0,KENNAMET
NSE,E,11845,EQUITY,0,CYBERMEDIA
NSE,E,1185,EQUITY,0,AMBER
NSE,E,11852,EQUITY,0,SURYALAXMI
NSE,E,11854,EQUITY,0,915SCL27A
NSE,E,11856,EQUITY,0,SHAHALLOYS
NSE,E,11857,EQUITY,0,89SCL24A
NSE,E,1186,EQUITY,0,GLAND
NSE,E,11860,EQUITY,0,JKPAPER
NSE,E,11861,EQUITY,0,93SCL24A
NSE,E,11864,EQUITY,0,PRIMESECU
NSE,E,11866,EQUITY,0,757GJ26
NSE,E,11867,EQUITY,0,776HR30
NSE,E,11868,EQUITY,0,63MOONS
NSE,E,11869,EQUITY,0,787HP35
NSE,E,11870,EQUITY,0,785HP36
NSE,E,11872,EQUITY,0,GRANULES
NSE,E,11873,EQUITY,0,787MZ36
NSE,E,11874,EQUITY,0,784HP37
NSE,E,11877,EQUITY,0,78TN42
NSE,E,11878,EQUITY,0,782SK32A
NSE,E,11880,EQUITY,0,JSWHL
NSE,E,11881,EQUITY,0,782NL32A
NSE,E,11882,EQUITY,0,783BR32
NSE,E,11884,EQUITY,0,MANINDS
NSE,E,11885,EQUITY,0,786JH34
NSE,E,11886,EQUITY,0,787HP34
NSE,E,11892,EQUITY,0,VHL
NSE,E,11895,EQUITY,0,DCXINDIA
NSE,E,11896,EQUITY,0,GEOJITFSL
NSE,E,1190,EQUITY,0,FMGOETZE
NSE,E,11903,EQUITY,0,IPSL
NSE,E,11905,EQUITY,0,GENUSPOWER
NSE,E,11909,EQUITY,0,SWELECTES
NSE,E,11915,EQUITY,0,YESBANK
NSE,E,11917,EQUITY,0,RITEZONE
NSE,E,11919,EQUITY,0,MSPL
NSE,E,11930,EQUITY,0,NECLIFE
NSE,E,11932,EQUITY,0,FUSION
NSE,E,11935,EQUITY,0,SPLIL
NSE,E,11939,EQUITY,0,AMIABLE
NSE,E,11944,EQUITY,0,MCLEODRUSS
NSE,E,11945,EQUITY,0,ANZEN
NSE,E,11954,EQUITY,0,735NHAI31
NSE,E,11956,EQUITY,0,MEDANTA
NSE,E,1196,EQUITY,0,KANSAINER
NSE,E,11964,EQUITY,0,SEMAC
NSE,E,11966,EQUITY,0,BIKAJI
NSE,E,11968,EQUITY,0,VIVIMEDLAB
NSE,E,11971,EQUITY,0,GOLDIAM
NSE,E,11975,EQUITY,0,RML
NSE,E,11978,EQUITY,0,768KA31
NSE,E,11979,EQUITY,0,HTMEDIA
NSE,E,11980,EQUITY,0,767AS32
